# Orbital elements of hypothetical and fictitious celestial bodies
# Used in astrological traditions; these bodies do not exist physically.
#
# Format: CSV with 10 columns
#   name, epoch_jd, equinox, mean_anomaly, semi_axis_au, eccentricity,
#   arg_perihelion, asc_node, inclination, geocentric, source
#
# epoch_jd:       Reference epoch as Julian Day (TT)
# equinox:        Coordinate equinox: "J1900", "B1950", "J2000", or "JDATE"
# mean_anomaly:   Mean anomaly at epoch (degrees; may include linear T term
#                 as "const + rate * T" where T = Julian centuries from epoch)
# semi_axis_au:   Semi-major axis in AU
# eccentricity:   Orbital eccentricity (may include T term)
# arg_perihelion: Argument of perihelion in degrees (may include T term)
# asc_node:       Longitude of ascending node in degrees (may include T term)
# inclination:    Orbital inclination in degrees (may include T term)
# geocentric:     0 = heliocentric, 1 = geocentric (orbits Earth)
# source:         Bibliographic reference for the elements
#
# "T" is Julian centuries elapsed from epoch_jd:
#   T = (JD - epoch_jd) / 36525
#
# Lines starting with '#' are comments. Blank lines are ignored.

# --- Hamburg School Uranian Planets ---
# Alfred Witte introduced the first four in 1914-1919; Sieggrün added four more.
# Elements refined by James Neely (1988), as published in various Hamburg School
# texts and the Regelwerk für Planetenbilder.
# Primary source: Witte, A. & Lefeldt, H. (1928). "Regelwerk für Planetenbilder."
#   Hamburg: Ludwig Rudolph.
# See also: Neely, J. (1988). "The Uranian Planets." NCGR Research Journal, vol. 1.

Cupido,   2415020.0, J1900, 163.7409, 40.99837, 0.00460, 171.4333, 129.8325, 1.0833, 0, Witte/Sieggrun 1928; elements refined by Neely 1988
Hades,    2415020.0, J1900,  27.6496, 50.66744, 0.00245, 148.1796, 161.3339, 1.0500, 0, Witte/Sieggrun 1928; elements refined by Neely 1988
Zeus,     2415020.0, J1900, 165.1232, 59.21436, 0.00120, 299.0440,   0.0000, 0.0000, 0, Witte/Sieggrun 1928; elements refined by Neely 1988
Kronos,   2415020.0, J1900, 169.0193, 64.81690, 0.00305, 208.8801,   0.0000, 0.0000, 0, Witte/Sieggrun 1928; elements refined by Neely 1988
Apollon,  2415020.0, J1900, 138.0533, 70.29949, 0.00000,   0.0000,   0.0000, 0.0000, 0, Witte/Sieggrun 1928; elements refined by Neely 1988
Admetos,  2415020.0, J1900, 351.3350, 73.62765, 0.00000,   0.0000,   0.0000, 0.0000, 0, Witte/Sieggrun 1928; elements refined by Neely 1988
Vulkanus, 2415020.0, J1900,  55.8983, 77.25568, 0.00000,   0.0000,   0.0000, 0.0000, 0, Witte/Sieggrun 1928; elements refined by Neely 1988
Poseidon, 2415020.0, J1900, 165.5163, 83.66907, 0.00000,   0.0000,   0.0000, 0.0000, 0, Witte/Sieggrun 1928; elements refined by Neely 1988

# --- Transpluto (Isis/Persephone) ---
# A hypothetical trans-Plutonian planet proposed by the astrologer Ram.
# Elements from: Strubell, M. (1952). "Die Sterne", vol. 3, pp. 70ff.
# Epoch 1772.76 per Strubell; equinox 1945 used to match published ephemeris.
# Source: Strubell, M. (1952). Astronomische Monatshefte, "Die Sterne" 3/1952, p. 70ff.

Isis-Transpluto, 2368547.66, 2431456.5, 0.0, 77.775, 0.3, 0.7, 0.0, 0.0, 0, Strubell 1952 "Die Sterne" 3/1952 p.70

# --- Nibiru ---
# Hypothetical body from Zecharia Sitchin's mythology, not astronomically defined.
# Elements courtesy: Woeltge, C. (Hannover, private communication).

